,0
0,3
1,4
2,1
3,1
4,2
5,1
6,2
7,2
8,6
9,3
10,1
11,3
12,3
13,1
14,3
15,3
16,5
17,1
18,3
19,5
20,2
21,1
22,2
23,1
24,4
25,3
26,1
27,1
28,1
29,2
30,1
31,1
32,2
33,2
34,1
35,2
36,2
37,1
38,2
39,3
40,4
41,11
42,11
43,9
44,20
45,3
46,6
47,8
48,9
49,6
50,19
51,1
52,18
53,1
54,5
55,9
56,1
57,9
58,1
59,4
60,1
61,2
62,3
63,1
64,2
65,4
66,2
67,2
68,4
69,3
70,1
71,4
72,3
73,1
74,1
75,1
76,2
77,4
78,1
79,1
80,4
81,3
82,2
83,2
84,1
85,4
86,1
87,1
88,3
89,1
90,4
91,4
92,3
93,1
94,4
95,1
96,1
97,1
98,3
99,3
100,26
101,30
102,7
103,37
104,60
105,7
106,37
107,30
108,27
109,7
110,37
111,30
112,27
113,7
114,70
115,27
116,7
117,7
118,30
119,17
120,17
121,7
122,17
123,7
124,20
125,7
126,4
127,129
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,17
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,2
160,1
161,6
162,1
163,6
164,1
165,1
166,1
167,5
168,1
169,1
170,1
171,1
172,1
173,6
174,1
175,7
176,1
177,1
178,3
179,1
180,1
181,2
182,4
183,1
184,2
185,1
186,1
187,3
188,1
189,1
190,1
191,2
192,1
193,14
194,1
195,1
196,1
197,1
198,1
199,1
200,1
201,2
202,1
203,4
204,1
205,6
206,1
207,1
208,1
209,1
210,1
211,5
212,1
213,1
214,1
215,2
216,1
217,5
218,1
219,11
220,1
221,4
222,1
223,1
224,1
225,1
226,1
227,1
228,4
229,1
230,5
231,4
232,1
233,1
234,1
235,1
236,1
237,1
238,3
239,3
240,1
241,1
242,1
243,5
244,1
245,1
246,1
247,1
248,1
249,2
250,1
251,1
252,1
253,1
254,2
255,5
256,2
257,1
258,1
259,1
260,1
261,3
262,3
263,1
264,3
265,1
266,3
267,5
268,3
269,1
270,1
271,1
272,3
273,1
274,1
275,2
276,5
277,3
278,2
279,3
280,1
281,1
282,1
283,2
284,2
285,1
286,1
287,3
288,1
289,3
290,3
291,1
292,3
293,1
294,1
295,1
296,2
297,2
298,1
299,1
300,3
301,3
302,1
303,1
304,1
305,1
306,1
307,2
308,91
309,2
310,2
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,4
324,4
325,2
326,1
327,5
328,1
329,5
330,1
331,5
332,1
333,5
334,4
335,4
336,4
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,2
345,4
346,1
347,2
348,1
349,1
350,1
351,1
352,1
353,2
354,1
355,1
356,1
357,2
358,1
359,1
360,1
361,1
362,1
363,1
364,3
365,1
366,2
367,1
368,1
369,1
370,5
371,1
372,1
373,4
374,2
375,1
376,1
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,3
385,2
386,1
387,1
388,1
389,1
390,1
391,2
392,3
393,1
394,2
395,1
396,1
397,1
398,1
399,1
400,1
401,1
402,3
403,2
404,1
405,1
406,2
407,1
408,2
409,3
410,1
411,3
412,6
413,2
414,2
415,1
416,3
417,2
418,2
419,1
420,2
421,2
422,1
423,1
424,2
425,1
426,4
427,1
428,1
429,6
430,2
431,1
432,3
433,4
434,1
435,1
436,1
437,1
438,6
439,4
440,1
441,2
442,1
443,6
444,3
445,1
446,1
447,2
448,1
449,1
450,1
451,2
452,1
453,1
454,1
455,1
456,1
457,2
458,1
459,1
460,1
461,1
462,3
463,3
464,6
465,1
466,1
467,3
468,3
469,3
470,1
471,1
472,1
473,2
474,3
475,1
476,1
477,1
478,5
479,2
480,2
481,1
482,1
483,2
484,4
485,1
486,1
487,1
488,2
489,6
490,4
491,2
492,1
493,1
494,5
495,2
496,1
497,1
498,2
499,1
500,1
501,2
502,1
503,2
504,1
505,1
506,2
507,1
508,1
509,1
510,3
511,3
512,6
513,3
514,3
515,4
516,2
517,1
518,2
519,3
520,1
521,1
522,2
523,1
524,6
525,1
526,1
527,1
528,2
529,2
530,1
531,4
532,2
533,1
534,4
535,1
536,1
537,2
538,1
539,2
540,5
541,4
542,3
543,6
544,2
545,1
546,1
547,1
548,1
549,2
550,1
551,3
552,1
553,1
554,2
555,1
556,1
557,3
558,1
559,6
560,3
561,3
562,4
563,1
564,1
565,2
566,6
567,3
568,1
569,1
570,6
571,2
572,2
573,2
574,1
575,2
576,1
577,4
578,1
579,2
580,4
581,1
582,1
583,2
584,1
585,1
586,4
587,4
588,4
589,5
590,2
591,1
592,1
593,1
594,2
595,1
596,2
597,1
598,1
599,1
600,1
601,1
602,3
603,2
604,6
605,1
606,1
607,3
608,3
609,4
610,1
611,1
612,6
613,4
614,1
615,6
616,3
617,1
618,3
619,2
620,1
621,4
622,3
623,4
624,1
625,1
626,2
627,1
628,3
629,4
630,5
631,3
632,2
633,1
634,1
635,2
636,1
637,3
638,1
639,1
640,1
641,1
642,1
643,5
644,3
645,3
646,5
647,2
648,1
649,1
650,3
651,4
652,1
653,1
654,6
655,4
656,6
657,3
658,3
659,2
660,1
661,4
662,2
663,2
664,1
665,1
666,8
667,3
668,3
669,13
670,1
671,2
672,3
673,18
674,3
675,3
676,1
677,1
678,12
679,1
680,1
681,3
682,9
683,6
684,1
685,1
686,3
687,18
688,1
689,3
690,18
691,1
692,1
693,18
694,3
695,1
696,1
697,14
698,1
699,3
700,3
701,9
702,1
703,1
704,3
705,3
706,16
707,3
708,3
709,1
710,16
711,1
712,3
713,18
714,1
715,1
716,3
717,2
718,13
719,1
720,1
721,3
722,8
723,7
724,1
725,3
726,18
727,1
728,1
729,1
730,18
731,1
732,3
733,3
734,5
735,1
736,3
737,2
738,1
739,8
740,1
741,3
742,1
743,5
744,4
745,2
746,3
747,13
748,3
749,13
750,2
751,1
752,1
753,2
754,12
755,1
756,3
757,4
758,7
759,3
760,4
761,4
762,1
763,3
764,3
765,13
766,2
767,3
768,4
769,5
770,1
771,2
772,1
773,1
774,5
775,4
776,3
777,1
778,1
779,13
780,1
781,1
782,5
783,4
784,1
785,3
786,14
787,1
788,3
789,12
790,3
791,1
792,12
793,3
794,1
795,2
796,8
797,1
798,3
799,4
800,2
801,3
802,3
803,14
804,1
805,3
806,1
807,2
808,5
809,2
810,1
811,1
812,2
813,5
814,5
815,1
816,1
817,14
818,1
819,2
820,5
821,4
822,1
823,2
824,13
825,2
826,3
827,3
828,7
829,3
830,1
831,1
832,2
833,10
834,1
835,3
836,2
837,12
838,3
839,1
840,1
841,4
842,4
843,1
844,1
845,3
846,13
847,1
848,1
849,3
850,3
851,5
852,3
853,1
854,5
855,6
856,1
857,1
858,15
859,1
860,2
861,4
862,2
863,3
864,3
865,7
866,3
867,3
868,3
869,6
870,2
871,4
872,3
873,1
874,2
875,3
876,8
877,1
878,1
879,6
880,5
881,2
882,5
883,6
884,10
885,5
886,3
887,7
888,2
889,1
890,5
891,1
892,2
893,4
894,4
895,2
896,4
897,1
898,4
899,1
900,2
901,4
902,1
903,1
904,1
905,1
906,4
907,24
908,3
909,2
910,7
911,4
912,1
913,3
914,1
915,2
916,1
917,4
918,1
919,1
920,3
921,3
922,3
923,3
924,1
925,2
926,1
927,1
928,3
929,1
930,1
931,1
932,1
933,6
934,1
935,7
936,1
937,4
938,2
939,2
940,3
941,1
942,1
943,1
944,1
945,2
946,1
947,2
948,1
949,1
950,2
951,3
952,2
953,6
954,14
955,4
956,19
957,11
958,4
959,1
960,3
961,1
962,3
963,1
964,1
965,4
966,5
967,3
968,4
969,5
970,14
971,1
972,1
