,0
0,1
1,3
2,4
3,1
4,9
5,9
6,3
7,6
8,2
9,2
10,2
11,4
12,1
13,1
14,1
15,2
16,2
17,1
18,2
19,2
20,4
21,2
22,1
23,1
24,2
25,1
26,1
27,2
28,1
29,3
30,3
31,3
32,1
33,3
34,3
35,5
36,3
37,1
38,1
39,2
40,2
41,1
42,1
43,3
44,2
45,2
46,1
47,1
48,2
49,1
50,1
51,2
52,1
53,1
54,1
55,4
56,2
57,3
58,3
59,3
60,3
61,4
62,1
63,1
64,1
65,3
66,3
67,1
68,1
69,1
70,2
71,2
72,1
73,1
74,1
75,1
76,2
77,3
78,5
79,3
80,2
81,3
82,3
83,2
84,1
85,3
86,9
87,3
88,2
89,5
90,1
91,4
92,8
93,3
94,1
95,2
96,6
97,1
98,1
99,3
100,2
101,4
102,2
103,2
104,3
105,1
106,1
107,1
108,1
109,3
110,3
111,3
112,3
113,3
114,7
115,3
116,2
117,2
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,3
127,4
128,2
129,3
130,4
131,1
132,1
133,3
134,2
135,5
136,1
137,2
138,1
139,1
140,2
141,1
142,1
143,2
144,1
145,1
146,2
147,2
148,1
149,1
150,1
151,1
152,3
153,16
154,6
155,3
156,1
157,1
158,3
159,5
160,4
161,4
162,1
163,1
164,3
165,3
166,1
167,1
168,1
169,2
170,1
171,1
172,1
173,4
174,2
175,5
176,1
177,3
178,3
179,1
180,1
181,1
182,3
183,1
184,9
185,1
186,3
187,6
188,1
189,2
190,4
191,1
192,1
193,1
194,2
195,8
196,4
197,1
198,1
199,1
200,2
201,2
202,1
203,1
204,3
205,1
206,1
207,1
208,3
209,5
210,3
211,4
212,9
213,4
214,1
215,1
216,15
217,1
218,2
219,1
220,3
221,1
222,1
223,2
224,1
225,1
226,1
227,5
228,1
229,1
230,1
231,2
232,1
233,1
234,1
235,4
236,2
237,2
238,1
239,1
240,8
241,3
242,8
243,3
244,3
245,1
246,3
247,9
248,9
249,1
250,17
251,3
252,4
253,3
254,3
255,64
256,5
257,2
258,2
259,5
260,6
261,7
262,2
263,1
264,1
265,2
266,2
267,2
268,3
269,1
270,10
271,1
272,1
273,9
274,1
275,2
276,2
277,2
278,1
279,1
280,1
281,1
282,2
283,2
284,2
285,2
286,2
287,4
288,1
289,1
290,2
291,4
292,1
293,1
294,2
295,1
296,1
297,3
298,5
299,2
300,2
301,2
302,4
303,4
304,2
305,1
306,2
307,3
308,1
309,1
310,1
311,1
312,3
313,3
314,3
315,1
316,1
317,1
318,1
319,2
320,4
321,1
322,8
323,3
324,3
325,3
326,1
327,6
328,3
329,1
330,1
331,13
332,2
333,1
334,1
335,2
336,2
337,1
338,2
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,4
347,1
348,7
349,1
350,3
351,1
352,2
353,2
354,5
355,1
356,2
357,1
358,2
359,2
360,1
361,6
362,2
363,1
364,3
365,1
366,1
367,2
368,1
369,3
370,8
371,2
372,6
373,2
374,1
375,2
376,1
377,2
378,1
379,2
380,1
381,2
382,5
383,11
384,1
385,2
386,2
387,2
388,1
389,1
390,3
391,4
392,1
393,2
394,2
395,2
396,21
397,2
398,2
399,2
400,11
401,2
402,2
403,2
404,1
405,1
406,1
407,1
408,1
409,1
410,3
411,2
412,2
413,3
414,1
415,3
416,1
417,5
418,2
419,3
420,2
421,11
422,1
423,6
424,12
425,1
426,1
427,14
428,4
429,1
430,1
431,2
432,3
433,4
434,13
435,1
436,13
437,1
438,1
439,1
440,8
441,6
442,1
443,9
444,1
445,1
446,1
447,7
448,1
449,4
450,1
451,1
452,1
453,8
454,1
455,1
456,8
457,3
458,5
459,1
460,11
461,1
462,5
463,4
464,1
465,2
466,1
467,1
468,1
469,1
470,8
471,1
472,1
473,1
474,1
475,4
476,1
477,2
478,6
479,8
480,4
481,1
482,2
483,6
484,6
485,1
486,11
487,6
488,1
489,3
490,2
491,2
492,1
493,4
494,2
495,3
496,2
497,1
498,4
499,1
500,1
501,7
502,1
503,6
504,6
505,3
506,1
507,1
508,14
509,4
510,1
511,1
512,11
513,1
514,6
515,9
516,1
517,1
518,6
519,5
520,6
521,1
522,11
523,6
524,16
525,1
526,11
527,6
528,1
529,1
530,6
531,5
532,6
533,16
534,1
535,14
536,4
537,1
538,1
539,9
540,2
541,5
542,1
543,12
544,1
545,5
546,12
547,1
548,1
549,14
550,4
551,1
552,1
553,11
554,1
555,6
556,1
557,8
558,1
559,1
560,6
561,5
562,6
563,1
564,7
565,1
566,1
567,5
568,4
569,10
570,2
571,2
572,3
573,4
574,1
575,5
576,7
577,5
578,1
579,3
580,4
581,4
582,5
583,2
584,1
585,1
586,3
587,3
588,2
589,1
590,5
591,1
592,2
593,2
594,1
595,1
596,1
597,2
598,3
599,12
600,2
601,1
602,2
603,3
604,2
605,1
606,1
607,1
608,1
609,1
610,4
611,3
612,4
613,1
614,14
615,6
616,1
617,2
618,1
619,6
620,4
621,3
622,1
623,1
624,4
625,18
626,4
627,2
628,2
629,4
630,1
631,3
632,3
633,2
634,5
635,3
636,1
637,1
638,1
639,2
640,1
641,1
642,2
643,1
644,1
645,2
646,1
647,1
648,1
649,9
650,1
651,4
652,2
653,4
654,2
655,4
656,3
657,1
658,2
659,4
660,1
661,1
662,3
663,2
664,1
665,2
666,7
667,1
668,1
669,2
670,2
671,1
672,12
673,51
674,10
675,4
676,3
677,2
678,2
679,7
680,8
681,1
682,4
683,1
684,8
685,8
686,1
687,1
688,2
689,2
690,2
691,2
692,2
693,2
694,2
695,2
696,2
697,2
698,2
699,1
700,1
701,2
702,6
703,1
704,3
705,1
706,1
707,1
708,1
709,1
710,1
711,1
712,2
713,1
714,2
715,1
716,2
717,3
718,3
719,1
720,1
721,3
722,1
723,1
724,1
725,3
726,4
727,4
728,4
729,3
730,2
731,2
732,1
733,2
734,9
735,4
736,5
737,1
738,2
739,1
740,3
741,1
742,3
743,3
744,2
745,4
746,1
747,1
748,1
749,1
750,2
751,5
752,1
753,4
754,2
755,1
756,1
757,1
758,5
759,1
760,1
761,7
762,3
763,4
764,2
765,1
766,3
767,2
768,5
769,1
770,2
771,2
772,9
773,2
774,1
775,2
776,3
777,2
778,3
779,1
780,1
781,2
782,4
783,2
784,7
785,14
786,1
787,7
788,7
789,14
790,1
791,7
792,7
793,14
794,1
795,17
796,14
797,1
798,1
799,10
800,1
801,1
802,1
803,1
804,12
805,1
806,1
807,10
808,1
809,1
810,1
811,1
812,2
813,1
814,1
815,3
816,1
817,2
818,3
819,4
820,3
821,3
822,4
823,3
824,3
825,4
826,3
827,3
828,4
829,3
830,3
831,1
832,2
833,3
834,3
835,4
836,3
837,10
838,3
839,1
840,1
841,1
842,1
843,2
844,1
845,1
846,1
847,72
848,3
849,9
850,9
851,7
852,2
853,8
854,4
855,1
856,6
857,2
858,3
859,3
860,4
861,10
862,2
863,3
864,1
865,3
866,1
867,1
868,1
869,4
870,3
871,1
872,2
873,8
874,1
875,3
876,2
877,3
878,1
879,3
880,1
881,4
882,1
883,4
884,1
885,1
886,1
887,1
888,1
889,4
890,7
891,3
892,1
893,1
894,3
895,1
896,4
897,1
898,2
899,2
900,1
901,2
902,5
903,2
904,2
905,1
906,3
907,1
908,3
909,2
910,2
911,1
912,1
913,7
914,1
915,2
916,1
917,1
918,1
919,4
920,1
921,1
922,1
923,3
924,1
925,1
926,1
927,4
928,4
929,3
930,3
931,1
932,1
933,1
934,3
935,1
936,1
937,1
938,1
939,2
940,1
941,1
942,1
943,2
944,2
945,1
946,3
947,1
948,2
949,1
950,1
951,2
952,1
953,1
954,1
955,1
956,7
957,1
958,4
959,1
960,2
961,5
962,2
963,1
964,1
965,3
966,1
967,1
968,1
969,1
970,2
971,3
972,1
973,1
974,1
975,1
976,2
977,1
978,6
979,3
980,2
981,3
982,1
983,3
984,1
985,1
986,1
987,4
988,1
989,2
990,1
991,1
992,1
993,4
994,1
995,1
996,3
997,2
998,1
999,2
1000,3
1001,1
1002,3
1003,2
1004,3
1005,5
1006,2
1007,1
1008,2
1009,2
1010,1
1011,4
1012,3
1013,3
1014,1
1015,1
1016,1
1017,1
1018,2
1019,3
1020,2
1021,3
1022,1
1023,1
1024,3
1025,1
1026,1
1027,5
1028,1
1029,1
1030,1
1031,1
1032,1
1033,1
1034,1
1035,3
1036,1
1037,4
1038,1
1039,1
1040,2
1041,1
1042,1
1043,2
1044,6
1045,2
1046,3
1047,1
1048,3
1049,3
1050,1
1051,4
1052,1
1053,4
1054,3
1055,1
1056,1
1057,2
1058,1
1059,1
1060,1
1061,1
1062,1
1063,1
1064,2
1065,1
1066,3
1067,1
1068,1
1069,2
1070,4
1071,2
1072,1
1073,1
1074,1
1075,1
1076,1
1077,1
1078,2
1079,1
1080,3
1081,1
1082,1
1083,2
1084,3
1085,1
1086,2
1087,2
1088,1
1089,2
1090,2
1091,1
1092,1
1093,3
1094,1
1095,4
1096,2
1097,2
1098,1
1099,1
1100,3
1101,1
1102,1
1103,1
1104,2
1105,1
1106,1
1107,1
1108,2
1109,1
1110,1
1111,1
1112,1
1113,1
1114,1
1115,1
1116,1
1117,2
1118,2
1119,1
1120,2
1121,1
1122,2
1123,2
1124,1
1125,1
1126,3
1127,4
1128,1
1129,2
1130,4
1131,3
1132,1
1133,1
1134,1
1135,1
1136,1
1137,1
1138,1
1139,1
1140,2
1141,1
1142,1
1143,2
1144,1
1145,1
1146,1
1147,1
1148,1
1149,2
1150,1
1151,1
1152,1
1153,2
1154,2
1155,3
1156,5
1157,1
1158,3
1159,2
1160,4
1161,4
1162,1
1163,2
1164,2
1165,1
1166,6
1167,1
1168,1
1169,1
1170,1
1171,1
1172,1
1173,1
1174,1
1175,1
1176,1
1177,1
1178,1
1179,2
1180,1
1181,7
1182,1
1183,1
1184,1
1185,2
1186,2
1187,2
1188,4
1189,2
1190,1
1191,2
1192,1
1193,1
1194,1
1195,2
1196,2
1197,1
1198,5
1199,1
1200,3
1201,1
1202,2
1203,1
1204,1
1205,5
1206,1
1207,1
1208,1
1209,1
1210,1
1211,1
1212,1
1213,2
1214,1
1215,1
1216,1
1217,1
1218,1
1219,1
1220,1
1221,1
1222,1
1223,1
1224,1
1225,1
1226,1
1227,1
1228,1
1229,1
1230,3
1231,1
1232,3
1233,3
1234,3
1235,1
1236,3
1237,2
1238,1
1239,1
1240,1
1241,3
1242,1
1243,1
1244,1
1245,3
1246,1
1247,1
1248,1
1249,3
1250,3
1251,2
1252,2
1253,2
1254,1
1255,1
1256,4
1257,1
